name,category,description,auth,selfServe,selfServeDetail,apiSurface_rest,apiSurface_graphql,apiSurface_webhooks,apiSurface_sdks,apiSurface_breadth,apiSurface_docsPublic,mcp_official,mcp_community,mcp_notes,buildability,blocker,evidence,confidenceScore,verificationStatus,notes
Salesforce,CRM & Sales,"The dominant enterprise CRM; sales, service, and platform APIs on one metadata-driven backend.","OAuth2, JWT Bearer Flow",freemium_signup,Free Developer Edition org self-signup; Connected Apps issue OAuth2 client credentials instantly.,True,True,True,"Node, Python, Java, PHP",broad,True,False,True,Salesforce ships an official 'Agentforce'/MCP-adjacent toolset; several community MCP servers wrap the REST/Bulk API.,Easy,,https://developer.salesforce.com/docs/apis,95,agent_verified,"One of the deepest API surfaces in the set (REST, Bulk, Streaming, GraphQL via Connect API, Metadata API)."
HubSpot,CRM & Sales,"CRM plus marketing/sales/service hubs, built around a public app marketplace.","OAuth2, PAT (Private App tokens)",freemium_signup,"Free HubSpot account + free developer test account; Private App tokens issued instantly, no approval.",True,False,True,"Node, Python, PHP, Ruby",broad,True,True,True,HubSpot publishes an official MCP server (developers.hubspot.com).,Easy,,https://developers.hubspot.com/docs/api/overview,97,agent_verified,
Pipedrive,CRM & Sales,Pipeline-first sales CRM aimed at SMB sales teams.,"OAuth2, API Key",freemium_signup,Free 14-day trial account; API token available from Settings > Personal Preferences immediately.,True,False,True,"Node, PHP",medium,True,False,True,Community MCP servers exist; no official Pipedrive MCP found.,Easy,,https://developers.pipedrive.com/docs/api/v1,90,agent_verified,
Attio,CRM & Sales,"Modern, flexible/relational CRM popular with startups.","OAuth2, API Key (Bearer)",freemium_signup,"Free workspace signup; API keys generated in-app immediately, no approval step.",True,False,True,JS/TS,medium,True,True,True,Attio ships an official MCP server for its API.,Easy,,https://developers.attio.com/reference/get_v2-objects,88,agent_verified,
Twenty,CRM & Sales,"Open-source, self-hostable CRM positioned as an Airtable-like alternative to Salesforce.","API Key (Bearer), GraphQL token",open,"Fully open-source; self-host or use hosted cloud, generate an API key from workspace settings with zero gating.",True,True,True,JS/TS,medium,True,False,True,Community MCP wrappers exist for Twenty's GraphQL API; no first-party MCP confirmed at time of research.,Easy,,https://twenty.com/developers,75,agent_verified,"Open source nature makes this one of the most agent-friendly, low-friction CRMs in the set."
Podio,CRM & Sales,Citrix-owned flexible work-management/CRM platform built on custom 'apps' (structured data objects).,OAuth2,freemium_signup,"Free account + self-service API key request form (near-instant approval, not a sales gate).",True,False,True,"PHP, Java, JS",medium,True,False,False,No MCP server found.,Medium,"Product is in long-term maintenance mode; docs are dated and API key requests are manual (short delay, not instant).",https://developers.podio.com/,70,agent_verified,
Zoho CRM,CRM & Sales,"Full CRM inside the broader Zoho One suite, popular with SMBs.",OAuth2,freemium_signup,Free Zoho account + Zoho API Console self-registration for OAuth client credentials.,True,False,True,"Python, Java, PHP, Node",broad,True,False,True,No official Zoho MCP found; community wrappers exist for Zoho APIs generally.,Easy,,https://www.zoho.com/crm/developer/docs/api/v7/,88,agent_verified,
Close,CRM & Sales,"Inside-sales CRM with built-in calling/email, API-first by design.","API Key (Basic auth w/ key as username), OAuth2",freemium_signup,Free trial signup; API key generated instantly from Settings > API Keys.,True,False,True,"Python, Node",medium,True,False,False,No MCP server found at time of research.,Easy,,https://developer.close.com/,88,agent_verified,
Copper,CRM & Sales,CRM built natively into Google Workspace for relationship-driven sales teams.,API Key + Email header,freemium_signup,"Free trial account; API key generated in-app under Settings > API Keys, no approval.",True,False,True,,narrow-medium,True,False,False,No MCP server found.,Easy,,https://developer.copper.com/,80,agent_verified,
DealCloud,CRM & Sales,"Deal/relationship-management CRM for investment banks, PE, and dealmakers (part of Intapp).",OAuth2 (client credentials),contact_sales_only,"Enterprise-only platform sold directly by Intapp; API access is provisioned per-client during implementation, no public self-signup.",True,False,False,,narrow (client-scoped schema),False,False,False,No MCP server found; docs live behind a client login wall.,Hard,"Enterprise-only, contact-sales gate; API docs require an existing client login, so schema/auth cannot be independently confirmed pre-contract.",https://api.docs.dealcloud.com/,45,flagged,Low confidence: could not access docs content behind login; classification based on DealCloud's public go-to-market model.
